日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
1995-10-31,000010,15.38,10.5,17.98,10.35,231728,302927956.0,763.0,950.0,9.5,136.32
1995-11-30,000010,10.3,7.54,10.48,7.48,134807,128878467.5,28.57,-28.19,-2.96,79.3
1995-12-29,000010,7.3,5.75,7.48,5.7,46798,30999526.13,23.61,-23.74,-1.79,27.53
1996-01-31,000010,5.6,5.14,5.82,4.73,25588,13637278.81,18.96,-10.61,-0.61,15.05
1996-02-16,000010,5.15,5.14,5.19,4.9,8578,4327067.83,5.64,0.0,0.0,5.05
1996-03-29,000010,5.19,5.24,5.85,5.02,57703,31248766.94,16.15,1.95,0.1,33.95
1996-04-30,000010,5.46,6.65,7.4,5.21,194225,122382209.41,41.79,26.91,1.41,114.26
1996-05-31,000010,6.97,5.95,7.18,5.5,110406,68617733.69,25.26,-10.53,-0.7,64.95
1996-06-28,000010,5.95,5.96,6.69,5.6,168447,104121362.0,18.32,0.17,0.01,99.09
1996-07-31,000010,5.9,7.86,8.48,5.52,347378,235224610.5,49.66,31.88,1.9,182.63
1996-08-30,000010,7.92,6.82,8.46,5.7,225040,149539989.75,35.11,-13.23,-1.04,118.31
1996-09-27,000010,6.95,7.53,11.28,6.05,206596,131072084.62,76.69,10.41,0.71,108.62
1996-10-31,000010,7.6,10.18,10.25,7.37,418175,324538163.5,38.25,35.19,2.65,219.85
1996-11-29,000010,9.38,13.86,14.86,9.32,663260,733994586.0,54.42,36.15,3.68,348.71
1996-12-31,000010,14.02,8.42,15.31,6.68,347048,378088124.0,62.27,-39.25,-5.44,182.46
1997-01-31,000010,8.3,9.04,9.47,6.92,270558,206774548.0,30.29,7.36,0.62,142.24
1997-02-28,000010,9.15,10.61,10.83,7.89,175043,148173840.0,32.52,17.37,1.57,92.03
1997-03-31,000010,10.72,15.94,16.54,10.59,288066,334833613.0,56.08,50.24,5.33,151.45
1997-04-30,000010,15.98,16.79,19.11,15.32,260915,397557066.0,23.78,5.33,0.85,137.17
1997-05-30,000010,16.96,13.12,17.89,12.18,137138,195512558.0,34.01,-21.86,-3.67,72.1
1997-06-27,000010,13.3,14.44,16.31,12.96,94292,123640717.5,25.53,10.06,1.32,49.57
1997-07-31,000010,15.54,14.01,15.54,11.47,53989,65614247.88,28.19,-2.98,-0.43,28.38
1997-08-29,000010,13.97,12.15,15.31,11.78,83789,102140038.0,25.2,-13.28,-1.86,44.05
1997-09-30,000010,12.06,11.17,12.92,9.77,23555,24131167.31,25.93,-8.07,-0.98,12.38
1997-10-31,000010,10.97,17.0,17.27,10.68,88616,114037764.11,59.0,52.19,5.83,46.59
1997-11-28,000010,17.72,16.21,18.15,15.23,38910,57236630.81,17.18,-4.65,-0.79,20.46
1997-12-31,000010,14.7,18.08,18.73,14.7,36586,48690620.56,24.86,11.54,1.87,14.78
1998-01-23,000010,18.22,18.05,20.41,17.2,44580,61398361.62,17.75,-0.17,-0.03,18.01
1998-02-27,000010,18.79,17.61,19.65,16.64,13313,17905769.63,16.68,-2.44,-0.44,5.38
1998-03-31,000010,17.99,20.41,21.86,17.35,88315,127562995.16,25.61,15.9,2.8,35.68
1998-04-30,000010,20.55,28.85,32.06,20.13,161120,299394695.75,58.45,41.35,8.44,65.1
1998-05-29,000010,28.93,27.44,31.95,26.23,93412,197833105.75,19.83,-4.89,-1.41,37.74
1998-06-30,000010,27.11,22.61,29.01,21.98,31505,59069804.88,25.62,-17.6,-4.83,12.73
1998-07-31,000010,23.47,21.43,23.68,20.41,11667,18648122.22,14.46,-5.22,-1.18,4.71
